7	2	0	0	0
8	2	0	0	0
9	2	0	0	0
10	2	0	0	0
11	2	0	0	0
12	2	0	0	0
13	2	0	0	0
14	2	0	0	0
31	2	0	0	0
32	2	0	0	0
7	3	0	0	0
8	3	0	0	0
9	3	0	0	0
10	3	0	0	0
11	3	0	0	0
12	3	0	0	0
13	3	0	0	0
14	3	0	0	0
15	3	0	0	0
31	3	0	0	0
32	3	0	0	0
7	4	0	0	0
8	4	0	0	0
9	4	0	0	0
10	4	0	0	0
11	4	0	0	0
12	4	0	0	0
13	4	0	0	0
14	4	0	0	0
15	4	0	0	0
31	4	0	0	0
32	4	0	0	0
7	5	0	0	0
8	5	0	0	0
9	5	0	0	0
10	5	0	0	0
11	5	0	0	0
12	5	0	0	0
13	5	0	0	0
14	5	0	0	0
15	5	0	0	0
20	5	0	0	0
21	5	0	0	0
25	5	0	0	0
26	5	0	0	0
31	5	0	0	0
32	5	0	0	0
36	5	0	0	0
37	5	0	0	0
41	5	0	0	0
42	5	0	0	0
46	5	0	0	0
47	5	0	0	0
7	6	0	0	0
8	6	0	0	0
9	6	0	0	0
10	6	0	0	0
11	6	0	0	0
12	6	0	0	0
13	6	0	0	0
14	6	0	0	0
15	6	0	0	0
19	6	0	0	0
20	6	0	0	0
24	6	0	0	0
25	6	0	0	0
31	6	0	0	0
32	6	0	0	0
37	6	0	0	0
38	6	0	0	0
42	6	0	0	0
43	6	0	0	0
47	6	0	0	0
48	6	0	0	0
7	7	0	0	0
8	7	0	0	0
9	7	0	0	0
10	7	0	0	0
11	7	0	0	0
12	7	0	0	0
13	7	0	0	0
14	7	0	0	0
15	7	0	0	0
18	7	0	0	0
19	7	0	0	0
23	7	0	0	0
24	7	0	0	0
31	7	0	0	0
32	7	0	0	0
38	7	0	0	0
39	7	0	0	0
43	7	0	0	0
44	7	0	0	0
48	7	0	0	0
49	7	0	0	0
12	8	0	0	0
13	8	0	0	0
14	8	0	0	0
18	8	0	0	0
23	8	0	0	0
31	8	0	0	0
32	8	0	0	0
